Rock_Type,Porosity,Permeability,Trap_Type,Seismic_Score,Proximity_to_Oil_Field,Estimated_Reservoir_Depth,Oil_Presence
Shale,15.881718640426001,818.0587612502019,Fault,0.40116516,2.7263179709078265,2422.2000000000003,1
Limestone,19.19325604711268,377.14768351190975,Fault,0.43696596508391694,0.6082851335375653,2923.7999999999997,1
Limestone,8.677317084590046,700.541891825313,None,0.4283518101139932,4.474661893329106,3630.0000000000005,0
Shale,23.646027896001183,873.5996978849483,Anticline,0.05055571,0.7842682618428609,2996.747467010437,1
Limestone,7.665344425761485,805.2062877826419,None,0.32447624530452623,1.5914257655823412,3286.2000000000007,0
Sandstone,6.939425467868805,775.5227203791055,Dome,0.9464028250221004,0.6530452377138107,2278.5,1
Limestone,25.654960349144183,367.62936996876505,Anticline,0.49654832411185074,3.5295905529913747,4751.0,0
Shale,11.50791923192176,231.15316313769847,Fault,0.8837599988343822,3.1724216425110296,1979.0,0
Limestone,8.629328739685269,648.0276048073877,None,0.6993958171621968,2.080402385844163,3187.7999999999993,0
Sandstone,1.3574756705666358,490.9560134610545,None,0.5668191233856312,2.7424322304795763,1744.183650113835,0
Sandstone,10.523328690309365,477.26636941708296,Anticline,0.8597078169483907,4.590473966002695,3606.5000000000005,1
Limestone,16.751541501488095,486.95964594105936,None,0.37906250481745224,2.677574508,3415.4,0
Sandstone,27.562419144127546,449.1646395768422,Fault,0.8214021435154072,3.4817060187165785,1924.0,1
Sandstone,13.607184288455244,403.8571608012647,Fault,0.093827307,3.1855441048078865,2818.0000000000005,0
Sandstone,1.7844048932516865,680.0608172985144,Anticline,0.1274218279575865,1.978923909869468,4066.0000000000005,0
Limestone,4.7534411156971785,514.9651624888995,Dome,0.8303256805947012,4.261122900390785,3297.5,0
Shale,21.796614345569548,375.976608779316,Dome,0.6986102220544285,2.392323062416887,1883.0,0
Shale,13.10273453541225,843.4136662284454,Fault,0.36343287705122623,1.1534806172432643,2371.0000000000005,0
Shale,10.49410063534738,945.4210062567576,Anticline,0.785467266,3.545866082218716,2307.0,0
Sandstone,17.314726369647794,492.4213650163544,Fault,0.6908950138809199,4.955003200466857,1072.0,0
Shale,13.472959050358273,860.8659355444238,Dome,0.6703759104353387,0.1702469077678126,2811.0,0
Limestone,19.49856294497668,720.3602401063491,Fault,0.6904383687849167,4.120968983332601,2404.2,0
Sandstone,8.231538156077624,384.7227078611164,Anticline,0.3645701572242519,2.0169475581130247,3676.0000000000005,0
Sandstone,16.723229014907997,301.5053549243487,Fault,0.4003445182163753,2.054822582002169,2929.0,0
Limestone,13.902907557257578,543.6677761516655,None,0.8539461723304547,2.7302220090031075,3166.0000000000005,1
Sandstone,24.51321297500284,757.6177836364245,Dome,0.4658122673719193,1.4925169527352444,2646.6,1
Shale,22.89450173236684,920.6326118556076,Dome,0.8182675681595905,2.634577229,3786.0,0
Shale,3.403865751197221,734.6491733321297,None,0.2329575268227728,0.2641072144222833,915.9999999999999,0
Sandstone,2.3694179809869507,464.8083399532655,None,0.036851821,4.842628157556095,4928.0,0
Limestone,12.023585209430179,65.94048392,Anticline,0.3549232709728912,2.24360686735593,3069.8,0
Sandstone,27.349160692059105,329.9445653009475,Anticline,0.9533860725310008,1.6503539641449603,3211.0000000000005,1
Sandstone,23.780777185481337,491.11581882275385,Fault,0.7531525089812836,0.9466847258948884,4196.0,1
Sandstone,10.783938655618307,963.8790087422656,None,0.1436027256547114,1.9811137006628776,3924.0,0
Sandstone,23.449063363296315,492.220860916582,Fault,0.7496685021052901,2.7327713561193843,1723.5,1
Limestone,19.00376392489093,395.034538510887,Fault,0.49658415826825736,1.9449504334705534,2403.0,1
Limestone,3.216671826254624,769.7815540435085,None,0.093585341,2.0662414314884043,4844.0,0
Limestone,1.4117513838005669,357.8609667314634,Anticline,0.1276023083151414,4.130551646787951,2731.9999999999995,0
Limestone,17.182269148150148,981.8954190562532,Dome,0.5626189692835876,1.3635980492912108,784.0,1
Shale,10.230605167681016,510.9937024097908,Fault,0.6990409031045587,4.172744499574079,2304.6,0
Limestone,1.3920865804537697,209.87575731657128,Fault,0.3717660508266061,4.854603534973963,2546.9852517050053,0
Shale,12.649356247310802,91.0235193,Anticline,0.6228761490206036,3.4793671884872603,739.0,0
Shale,2.68698072948932,761.0027462034302,Fault,0.9651525524330384,0.9849652791947028,2819.5,0
Limestone,18.34939258169977,182.51130848395377,Anticline,0.631498836751241,1.3960376948213418,581.0,1
Limestone,1.442769312361063,469.3667032368525,None,0.3238960277710513,2.3309790261852106,4353.000000000001,1
Sandstone,1.1309317474455838,217.79476120431355,Anticline,0.3824577834543116,3.3997246112390385,3603.000000000001,0
Limestone,9.592295862230849,661.5721498786039,None,0.924428752,0.8397710218370713,4839.0,0
Limestone,1.712842815296518,799.1659376312119,Dome,0.5195956326039297,2.987010477696605,3501.0,1
Shale,12.731747652940246,542.4816514773169,Anticline,0.8438589879562556,3.038809915092034,3598.0000000000005,0
Sandstone,14.339986351629342,823.2724847,Dome,0.9088747762369326,4.785082165674167,1920.339223275653,1
Sandstone,28.26473751,975.8762272642452,None,0.528607823,1.3218214234291292,2191.0,0
Shale,15.861630227870963,86.54360149780703,Fault,0.933811275,0.35404500026310726,2330.75,0
Limestone,8.188499841944635,425.2543334060401,None,0.789180652,1.5606939583163577,1815.0372206201685,0
Shale,25.749912953427742,161.88516874571937,Anticline,0.9116078569574888,1.09191065128162,4376.0,0
Limestone,20.55463573394394,846.5887411309996,Fault,0.6150113313691719,3.5084786013352405,3247.6,0
Sandstone,3.5103517457383857,471.1857756447231,Fault,0.5867114391456515,2.7049363873023307,1117.0,1
Sandstone,16.75334116014204,478.7382488781492,Fault,0.5685194387874326,4.379370293002227,2477.3999999999996,0
Limestone,2.482149104612147,658.9638864541313,Anticline,0.5673608506813306,4.403783073716316,2408.0,1
Sandstone,0.5511496361431323,53.40803241908207,Dome,0.6566489242366188,3.00072019216257,2735.8,0
Limestone,13.420516470168767,444.2715538511193,Fault,0.0309809532778618,3.275584650696701,1147.4095746645387,0
Shale,23.595776613107738,576.1738895646441,None,0.635897117,4.027688190407572,1949.5,0
Sandstone,3.427114157741875,767.1619974228103,None,0.42961607800876594,2.692485799980492,3565.0,0
Sandstone,17.153956824969637,360.65592713995517,None,0.4558507683613963,1.9448582065412667,2743.0,1
Shale,6.771831715173823,277.7208206362613,None,0.6183533789785556,4.529201460711521,3078.0,1
Shale,1.3930096644843692,95.67612070042756,Dome,0.43115100910911447,0.3200392626465576,3836.0,0
Limestone,28.226288024841267,299.0821330479075,Anticline,0.1530848188414082,4.485118235163952,1041.0,0
Sandstone,3.183762556947073,327.0861332482633,Anticline,0.6435375145433193,1.9247043117865263,3139.0,0
Limestone,11.144578309783029,72.74276918015178,None,0.7422218355242104,4.798270978604871,1810.1318717739177,0
Shale,16.931861410169688,262.3631814855381,Fault,0.6395403505502881,1.820055276742264,1724.0,0
Limestone,10.69705422905264,800.6104516311846,Fault,0.3393125961930803,2.2949225346733444,2433.4999999999995,0
Limestone,11.658928368213084,708.541665775306,None,0.500258100097893,2.8235325963060642,3869.0000000000005,0
Shale,0.3148092341983333,598.4739920980433,None,0.5386691289674194,2.3176134552620886,3161.2000000000003,0
Limestone,22.55028516068758,799.9629800524445,None,0.48152982810727346,1.380931449627795,3013.0095501238384,0
Limestone,11.630854645170205,439.4698314660326,Anticline,0.653530486310051,3.5742338760508523,4531.999999999999,0
Sandstone,6.981793821125681,413.45967898826615,Anticline,0.6233328588044345,3.1997246759999998,3927.0000000000005,1
Sandstone,20.22592868594789,30.76996396585368,None,0.2464342807936556,3.9011378203328735,1307.0,0
Shale,4.937978210987241,63.908437324966734,Fault,0.4867079448557909,3.079180529258252,3192.0000000000005,0
Shale,18.897042378033788,420.8122052020683,Fault,0.7299256078573148,1.698923054401658,3521.0000000000005,0
Sandstone,8.896127689,564.1146823883178,Anticline,0.494980792352447,2.861539357278404,2954.0000000000005,1
Sandstone,10.976952941051325,475.5608026309232,Anticline,0.9482686497881704,1.7252217756636372,2274.0,1
Limestone,13.626432592957425,492.0146531708977,Anticline,0.6448478776969538,2.8440109840844388,3321.4,1
Shale,0.11742317206171908,400.8437522552335,Anticline,0.068410485,3.226329795332583,2584.25,0
Sandstone,7.597584508971486,439.71133004746054,Fault,0.3812351856571038,3.489806946082765,3730.0,0
Sandstone,5.076091550317554,212.8819820621462,Fault,0.9116035178596232,4.583906123905556,1029.0,1
Shale,5.833429332950658,265.0428399115645,Anticline,0.7580406561570396,0.22545985955689013,3489.0,0
Limestone,19.281991204985744,620.4090735428134,Dome,0.6728679604557496,0.1689407771725964,4510.0,1
Limestone,20.68749196599689,483.0285575569968,Fault,0.5020576469023181,1.266669603204824,634.0114347461637,0
Sandstone,19.84343449839304,118.15449778435668,Anticline,0.6014901356630435,3.207329355529948,2127.0000000000005,1
Shale,18.471781603355183,354.0160900822093,Dome,0.41943987648995046,1.546047661591784,3891.0,0
Shale,12.763455688526959,568.1794946359258,Fault,0.3778275579901625,0.0340997250127639,4218.000000000001,0
Shale,16.422445211391775,852.2956000522116,Fault,0.2728170787634203,0.5631636020574088,3885.0000000000005,0
Sandstone,7.698891581796506,658.5043140498072,Anticline,0.7897302916754999,3.2979211090637808,4997.0,1
Shale,13.519176601809926,509.2136247062724,Fault,0.5770290374440112,2.8387870236899917,3424.0,0
Sandstone,2.0940196384388674,743.1559152843336,Anticline,0.41672031641083657,1.4104653840781969,1843.2000000000003,1
Sandstone,9.098488182135814,21.471554831096483,Dome,0.5020003971362369,1.4733356084573574,3596.0000000000005,0
Limestone,11.47453381747783,970.2175365819662,Dome,0.4618422923253076,2.5180392690000004,3610.0,1
Shale,17.27145272566833,556.6563125358617,Anticline,0.6225540550295415,4.789580434201964,3861.0,1
Sandstone,28.541905859373184,35.845425514207626,Anticline,0.960862816,3.112249015168726,4539.0,1
Shale,24.99102792,772.2839753635286,None,0.6588872657669321,0.5210321876892565,1974.9224039992314,0
Shale,15.527355086624267,452.7787344314549,Dome,0.9211471375918332,1.5817931807210879,2760.0000000000005,0
Sandstone,1.680069268170005,511.2025736580863,Fault,0.1127305321295289,1.9323037207439706,2410.5,0
Sandstone,8.402761298929642,989.1900540345654,Anticline,0.5562377257002904,2.4336402408483155,2947.0,0
Sandstone,24.129141388665506,239.6898882607808,Dome,0.9973573486647108,4.294228598346688,2250.0,1
Sandstone,24.745613024613107,114.36016398981168,Dome,0.4151217574978261,1.3737954837918944,2211.6,0
Limestone,14.31144675538064,478.7024430128539,Fault,0.8915732810387438,4.403415235255876,1089.0,1
Sandstone,9.738275055304848,601.5341819190802,Dome,0.6094464071756721,1.874549190044989,2434.0,1
Shale,2.151952134447251,531.3811900523541,None,0.85030881,3.951191468294947,1218.0,1
Shale,9.449371012729523,504.4841274820762,Fault,0.1640217446287633,2.535959440090656,3809.0000000000005,0
Sandstone,28.82488251240565,572.3107056778439,Dome,0.4382092811112116,4.292051269,1487.0,1
Limestone,28.16630925426819,357.8609667314634,Anticline,0.2701470804941095,4.130551646787951,3929.0000000000005,0
Shale,26.33541933049693,103.2979494462052,Fault,0.7727564386560676,3.803879566692749,3424.0,0
Limestone,17.972954265460107,429.2481446033329,Fault,0.061113576,1.0677837074784102,3088.0000000000005,0
Sandstone,8.232351630011255,712.4795365249507,Dome,0.5717191004250424,2.2527738065388543,550.0,1
Limestone,18.53599963,635.2013198232381,Anticline,0.7712572199178752,2.879768994014751,2874.0,1
Sandstone,29.843248637217183,191.3691873228467,Anticline,0.6212617559255493,3.3444611360984178,1899.0,1
Sandstone,2.402685290134837,680.6687413108,Dome,0.6607410387338439,1.918835094969682,2625.3999999999996,1
Limestone,23.56500876934754,54.29564555531089,Fault,0.6623298603310639,1.001343030892115,3364.0,0
Sandstone,13.072030705299229,907.3584471020029,None,0.6838251043580197,4.690083632946352,2692.0,0
Shale,9.335842134120275,318.8545188,Anticline,0.5205739373148293,0.7160357775996863,4243.0,0
Limestone,23.585322100780186,305.3311964612831,Dome,0.6445788958808689,3.353859668080712,4430.000000000001,0
Shale,6.911852145436932,470.33875432001815,Anticline,0.049478191,3.6707369854904655,1514.0,0
Shale,22.722753101199743,920.6330983935661,Dome,0.1699424910749837,4.667940262081066,2292.0,1
Limestone,13.01334823221461,565.7373888,None,0.981816702354268,1.4984032320831184,4058.0,0
Limestone,12.119288499092509,18.30864578394136,Dome,0.9518083880692424,2.9816685423130975,4047.0000000000005,1
Limestone,13.507088600178518,469.3667227111651,None,0.5637751984296409,1.7668078577046198,816.0,1
Limestone,11.095955299856064,535.5853871657315,Anticline,0.2283104256251781,2.9538402978824143,3078.0,0
Limestone,12.988516482899346,742.0849391427196,Dome,0.4359093242363593,1.7166546957621271,809.0,0
Shale,8.183816780995373,726.8814131600938,Fault,0.6514787668852333,2.1808998470901213,3424.0,0
Shale,21.057146134297284,263.558877592587,Anticline,0.680910262306926,2.873584684742015,2916.4,0
Sandstone,1.610912357979205,868.5941164,None,0.6695972165770953,3.011991590972783,1682.0,0
Limestone,14.82848957836772,856.8645914216247,Dome,0.5942535671999187,2.1956516856364976,1814.2,0
Shale,29.896969688669472,256.8323378121853,Anticline,0.5055411497732909,4.236888217278537,2856.2554337310876,0
Shale,8.014957877639697,594.8149744252639,Anticline,0.15996476311049182,4.771288728729319,740.0,0
Shale,14.239720861977823,39.85691643457932,Dome,0.5808163505183862,0.3975179160306902,3281.399999999999,0
Sandstone,11.704666132226889,413.22557426534206,None,0.7470540820893272,0.307437505,3212.9999999999995,0
Sandstone,10.849412845231337,219.52158278098892,Fault,0.6294785139623463,3.449729553067786,2039.0749236670215,0
Shale,17.91137709866614,8.776186298698189,Dome,0.2131785292232831,1.646064153389806,3986.0,0
Sandstone,16.625629530143733,632.1300823214216,Dome,0.28724319035010853,1.8801264162162636,2196.0,1
Limestone,19.7501826368245,653.1588749016024,Dome,0.6694708988116058,1.0675739066455936,1525.0,1
Limestone,14.86039600388661,419.6556084423155,Anticline,0.5693469444930521,2.851024565710947,4459.000000000001,0
Shale,3.425513407113965,920.6336172,Dome,0.7189729393064442,0.8743759230466708,4223.0,0
Shale,8.878928397013766,536.6135872835517,Anticline,0.41604651954255173,1.8099882469440647,3048.0,0
Shale,21.92784108,920.6326770942684,Dome,0.70656634,4.027082253138323,2876.0000000000005,0
Shale,0.7233058022600047,138.62516646912113,Anticline,0.5694582351929555,2.844929239822302,3164.5,0
Shale,12.073100222601166,791.7956858575739,Fault,0.8190320208363729,2.6694130199331165,1635.0,0
Limestone,18.23588472242941,123.71713887824708,None,0.49116702453862154,1.3753357385225478,2753.0,0
Limestone,0.7489866636017151,56.69384887185768,Dome,0.3871308932722845,0.1556007285162419,3906.0,0
Sandstone,17.760505283671886,692.5650668768297,Dome,0.4712369928003699,1.6851631327588057,2731.1620988873537,0
Sandstone,9.040711765753144,945.0202437771518,Anticline,0.9050139458677754,0.8758687055945187,1450.765987043609,1
Shale,15.3044514136897,369.1030434134148,Dome,0.4594211712251466,0.7250708416122431,3955.666666666667,0
Sandstone,15.249612252178759,632.175715150175,Dome,0.6408723774527126,1.7227133339929628,4865.0,1
Sandstone,27.84042710188143,530.399154387467,Fault,0.4309755247668423,3.091556547295417,554.0,0
Shale,15.997541978373079,11.335250876227247,Anticline,0.7970628832022295,3.5458654581894518,1824.0,0
Sandstone,14.400555295338629,657.5541115039567,None,0.528147881,3.3721673620773545,2499.0000000000005,1
Limestone,21.76434102046461,384.19767129071465,Anticline,0.3715247117510478,2.403519923349815,2580.75,1
Shale,18.897042378033788,420.8122052020684,Fault,0.8760044134647508,2.5637739203995604,4618.0,0
Shale,3.8920989283944323,887.6748959542704,Fault,0.7846041253444681,0.3032103872583763,4792.0,0
Sandstone,23.570074496334577,990.2476462032308,Dome,0.4261464082805019,1.5403799799483204,2278.5,0
Limestone,13.291780869912632,260.80268529414843,None,0.2817164753332108,2.5869009172672524,1810.1309091803328,0
Sandstone,6.381808983908193,916.7096556960012,Fault,0.006393752,2.160777275543176,2727.0,0
Limestone,20.432852837625457,641.8681702774422,Dome,0.4639471897642874,2.7759029982182177,2156.0,0
Shale,13.25146020015383,253.02668061725961,Anticline,0.9537693962128272,2.6377897000372714,3122.9999999999995,0
Limestone,16.099380877795305,360.7715560861005,None,0.30059519636538745,3.2812183253614866,3197.000000000001,0
Sandstone,11.878847662428146,857.3357606332189,Anticline,0.5331320505993339,3.5521790412043464,1932.0,1
Sandstone,29.44342786287388,534.7208592055895,Fault,0.5204375318121689,1.7229216714691387,1829.0,0
Shale,20.14980692993696,933.2027325378124,None,0.5936131072488539,2.681764052952201,2050.0,0
Sandstone,10.676662557928408,552.4004863648162,Dome,0.2040688704787411,3.299050574006981,3152.600000000001,0
Limestone,22.433830492781173,759.1299612903061,Dome,0.4259730322199133,4.852893275988395,1040.0,0
Shale,11.513173739322276,259.25991183231685,Dome,0.4707481621908956,2.748711584469551,2760.0000000000005,0
Sandstone,12.626770435738687,66.82812419370772,Fault,0.9005919006282612,2.286683400079041,3052.0,1
Shale,15.70624781571245,531.3811900523541,None,0.5820959322825418,3.951191468294947,3595.0,0
Limestone,17.290320463658524,857.5271072612771,Dome,0.5459323768236721,2.9385330142453387,2605.0,1
Shale,28.71590890557704,408.79499509658274,Dome,0.5473490522447974,1.9294313261968956,1949.0,0
Sandstone,21.545038426815413,287.5089334593512,Fault,0.9344306600118266,4.779264372336457,1595.0,0
Shale,12.45641270052992,611.8798430479609,Fault,0.3309784252380526,4.529130910934001,3424.0,0
Sandstone,21.260425155357154,539.6601359919742,Anticline,0.4000396444040072,3.36175363150179,2754.3333333333335,1
Limestone,12.80371116581758,356.8967898559025,Dome,0.4103350662149784,2.4045883795432643,3297.5,0
Shale,3.740923413708096,843.4136662284454,Fault,0.4312773456598117,1.122193616229083,2906.0000000000005,0
Limestone,17.294173126732616,655.7602811060522,None,0.5579923148934525,0.9420723927273666,3771.0,0
Limestone,21.232596228161945,860.7411481104303,Fault,0.9686995467436516,1.927194585906229,2709.379229164377,1
Shale,19.775222844141208,837.6817960494088,Fault,0.2900974467614731,4.212137210222777,2330.75,0
Sandstone,28.834782471304955,997.1347622642076,Anticline,0.029426067,2.537720492,2342.0,0
Sandstone,19.877037532163552,569.3826297706826,Fault,0.4346945143083677,3.182156535919819,3821.0,0
Limestone,21.17971209,365.1326858718675,Fault,0.5877677851627399,2.410664374214116,2985.5,0
Shale,17.602943754109994,835.4711543975917,Fault,0.5897376125562032,1.4116687242622594,2679.4141828116694,0
Shale,24.990186456032585,327.3825057654024,Anticline,0.1325860964049587,0.7761071389959168,3534.0,0
Shale,17.534993865923706,490.5142465135792,None,0.510353543053064,2.8017258973297334,879.0,1
Sandstone,15.329122291351862,176.96118087668444,Fault,0.3112606621495632,3.347815738270718,1749.8889554507566,1
Sandstone,11.553183689697612,69.91832095042191,Fault,0.2816818336481683,3.974441649,1029.0,1
Sandstone,7.837353973607471,706.1297524021352,Dome,0.4631958779654482,1.9120734691724408,1820.0,0
Sandstone,13.537998422193432,384.7227078611164,Anticline,0.1628722281643478,0.102165830357625,1604.9121043986381,0
Limestone,18.15468890871745,955.9058186943632,Dome,0.2340926361660719,3.058646785765896,2836.9999999999995,0
Sandstone,10.703061348698178,212.8820266388096,Fault,0.5982018957938589,4.420014425699485,1029.0,1
Sandstone,10.656370016491842,447.7618209163561,Anticline,0.077745444,4.823739074712133,3398.0,0
Shale,18.835550692263457,643.8694292737923,None,0.2647294959989589,2.274798321831044,3869.0000000000005,0
Sandstone,11.547573183140077,889.5573115933255,Fault,0.8197385409262475,2.97912578818131,2748.0,1
Shale,11.275573955459375,604.1229908175957,None,0.580322246,4.670972209542769,3647.0000000000005,0
Shale,12.236478305909491,371.05633997743945,Dome,0.2878022115532944,3.247192112892567,652.0,0
Sandstone,12.880790611018647,481.7521094773215,Fault,0.4520765706791205,1.4487544438947682,3349.3999999999996,0
Limestone,1.2428426645816326,426.6397720300028,Anticline,0.7946795684312156,4.780223436890206,3014.666666666666,1
Sandstone,23.639104007727948,468.076305844072,Fault,0.9344306600118266,3.044266251111012,1595.0,0
Limestone,4.906370604724178,458.6982093641956,Fault,0.5277052921529723,0.1415573369261508,634.0112011508072,0
Shale,10.190778554387611,244.9858868925746,Dome,0.5292383365771101,0.2833393993354858,975.0,0
Limestone,24.314046516463986,151.76506673081627,None,0.962836633242806,4.622512149239309,3227.000000000001,1
Shale,10.54136900274326,622.0954680186387,Dome,0.3817794385098544,4.579265499708763,3053.0,0
Shale,24.165473543196608,504.1096832381356,Dome,0.5013719345705198,1.578033149274056,2557.0,0
Sandstone,0.4314370795245892,23.13447278682728,Dome,0.5848200366533628,2.184089103153771,2810.0,0
Limestone,1.8403162345160409,835.8406906829041,Fault,0.6174300547940901,3.526408019855132,2118.2000000000003,0
Shale,6.370019228606738,854.1623173351177,Fault,0.4362072964823696,3.0145274895482226,2846.5,0
Limestone,12.701602472023856,311.89415396897965,Fault,0.7599670316957243,1.1637007369541386,1162.0039292515185,0
Limestone,25.530113003917474,828.4072511450194,Dome,0.490928414608381,0.9187934057057925,2344.0,1
Shale,9.703436535301227,550.3584787400343,Fault,0.6593141943788129,0.1261744279340104,2078.3999999999996,0
Sandstone,13.139562139506507,951.195085174008,Dome,0.34747827627888633,2.747359947252116,1824.0,0
Shale,3.9415893628501575,743.1658112337687,Fault,0.8073371707198082,3.0848914043362936,3743.0,0
Limestone,23.247854169178648,610.8473362417297,None,0.3156575292915304,2.5254571411035127,2123.0,0
Limestone,1.4091897329441938,297.79912295390795,Dome,0.701387282414744,0.8952061922538118,3544.2,1
Sandstone,16.136421295537378,546.3566567075408,None,0.2176140244488256,1.7383833665725001,2318.0,0
Sandstone,5.669569799135253,376.21408966706656,Anticline,0.7034631642899991,0.4000730391349394,1522.4397133555726,1
Sandstone,7.4269352442535395,352.78634507668335,None,0.38681271852622895,0.10448106102787061,2135.0,0
Limestone,0.9996959831852535,478.10782617398144,Anticline,0.1457052524892038,0.819119931,1410.0,0
Sandstone,27.71229393799945,343.5767389712495,Anticline,0.4380151762580812,3.1196466484475183,4701.0,0
Limestone,19.51275746471593,625.4017610225186,Dome,0.4663122159459896,3.5584805553923737,2656.9999999999995,0
Limestone,19.41679608637974,668.6968613638427,Fault,0.7408763850136038,4.11536258254174,3998.4999999999995,0
Limestone,9.669744734082746,463.94014389969686,Fault,0.676246812,4.643862127919405,3495.0000000000005,1
Limestone,9.774703823114542,679.5677543229503,Anticline,0.0219705708025074,1.9636078131903192,3039.4999999999995,0
Limestone,5.607942883243408,891.1641386,None,0.8850841193734466,3.769191295926883,1670.0,0
Shale,12.649356247310802,461.80926261911935,Anticline,0.8309413964613068,2.5276154844424545,1703.0,1
Limestone,12.568420198508418,72.87441288020094,None,0.3312983404606731,2.717447806377368,3660.0000000000005,0
Limestone,0.2142624530473513,585.4067569532167,Dome,0.5297684675304802,3.5584805553923737,3949.000000000001,0
Limestone,10.193107268965312,215.42332494152416,None,0.3991807649888911,4.3709988530051085,1737.9999999999998,0
Shale,22.48278017942426,524.2347381,None,0.3478278037861146,4.670972209542769,4832.999999999999,0
Sandstone,19.92605139215357,202.88108184291573,Fault,0.8866131428716211,2.286683400079041,4212.0,1
Limestone,6.609821803127477,303.0812225063144,Fault,0.5926158115981464,0.409462641000024,2561.4241547225706,0
Sandstone,9.357357166101156,232.84518314613186,Anticline,0.2409520426369428,4.701886554183299,1422.0,0
Shale,8.741324759961454,575.2946256629127,None,0.4802418466945197,1.88462981962554,3437.0000000000005,0
Limestone,9.959948827132957,680.1310807,Dome,0.951967622,3.5584805553923737,729.9999999999999,1
Shale,18.36025589878366,920.6329023077396,Dome,0.4006109237973435,2.4809296719441805,1707.0,0
Sandstone,14.224928888159592,796.3897624854363,Anticline,0.8014530278240474,0.16467648914922864,971.5,1
Shale,12.32754053835188,929.4963192814876,None,0.3719549577376997,4.607857365882831,3294.4999999999995,0
Shale,8.956437779464919,820.7408503872987,Dome,0.1665187105338613,1.4285564291602486,2733.999999555585,0
Sandstone,1.6037613781445448,440.5663122807533,None,0.6621234406352879,3.1356130968635596,2616.0,0
Limestone,21.971653397926644,797.7198892891901,None,0.2294006266965225,1.3319745831048486,1378.0,1
Limestone,17.552334491196483,190.59699065714184,Dome,0.9630430223942144,2.5833744097176528,3606.0,1
Sandstone,21.55483630406997,627.6897612796066,None,0.3880044310337532,1.7176647229074582,2234.2000000000003,1
Shale,3.3051636076089927,924.2925454813025,None,0.3685294733464573,4.670972209542769,4672.0,0
Sandstone,13.820094895004674,657.5541115039567,None,0.6201095320161573,4.812327669,2499.0000000000005,0
Shale,5.872668192168739,832.1580631,Fault,0.7449417326811453,1.207797536082007,2638.9999999999995,0
Limestone,13.450394115739009,512.3316624854184,Fault,0.5716032246094102,4.419231498686232,1824.0,1
Sandstone,22.80984664212413,425.4937370896542,None,0.650169182,1.2372180949080602,4685.0,0
Sandstone,23.23258484,466.3044253024296,Dome,0.3821084703053269,1.5800627278041814,2943.7500000000005,0
Limestone,2.4066673936714222,357.8609667314634,Anticline,0.2913074462744878,3.556802999175881,824.0,0
Sandstone,28.33997196513285,505.3699402802118,Fault,0.6524860671620776,1.9735265865752611,1038.0,1
